isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
False,2,93514939,307.0,1,0.0032573289,0.7983,0.5251,
False,3,103716381,395.0,132,0.33417723,0.803,0.3007,
True,4,105964225,389.0,1,0.002570694,0.8014,0.3302,6.0
False,5,105965951,389.0,1,0.002570694,0.8015,0.3309,
False,6,106122117,398.0,135,0.33919597,0.8174,0.3443,
False,7,129052116,399.0,27,0.067669176,0.7818,0.4215,
True,8,173879839,97.0,312,3.2164948,0.8867,0.0302,
False,9,173951255,,312,,0.8714,0.2247,
False,10,175271421,,307,,0.8749,0.3619,
True,0,0,841.0,1,0.0011890606,0.7992,0.5316,11.0
False,1,2938843,842.0,1,0.0011876485,0.7983,0.5251,
False,2,13140285,1152.0,286,0.2482639,0.803,0.3007,
False,3,15546021,1144.0,71,0.062062938,0.8174,0.3443,
True,4,83303743,914.0,308,0.3369803,0.8867,0.0302,
False,5,83375159,606.0,308,0.50825083,0.8714,0.2247,
False,6,84695325,303.0,303,1.0,0.8749,0.3619,
True,0,0,131.0,2,0.015267176,0.7979,0.59,10.0
True,1,8609575,141.0,6,0.04255319,0.8511,0.6355,12.0
False,2,8644561,151.0,10,0.06622516,0.8547,0.6407,
True,3,9044838,161.0,10,0.062111802,0.8592,0.6511,
True,4,9051640,171.0,10,0.058479533,0.8574,0.6436,
True,5,13016401,169.0,2,0.01183432,0.8593,0.6645,12.0
True,6,55770879,194.0,6,0.030927835,0.8498,0.6925,13.0
False,7,153148845,114.0,42,0.36842105,0.803,0.3007,
False,8,155554581,76.0,42,0.55263156,0.8174,0.3443,
True,9,223312303,,153,,0.8867,0.0302,
False,10,223383719,,153,,0.8714,0.2247,
True,0,0,541.0,1,0.0018484289,0.7992,0.5316,6.0
False,1,2938843,542.0,1,0.0018450185,0.7983,0.5251,
False,2,13140285,852.0,284,0.33333334,0.803,0.3007,
False,3,15546021,1136.0,284,0.25,0.8174,0.3443,
False,4,38476020,1136.0,1,0.0008802817,0.7818,0.4215,
True,5,83303743,874.0,306,0.3501144,0.8867,0.0302,
False,6,83375159,568.0,306,0.5387324,0.8714,0.2247,
False,7,84695325,284.0,284,1.0,0.8749,0.3619,
False,0,0,89.0,25,0.28089887,0.8154,0.6263,
False,0,0,174.0,58,0.33333334,0.803,0.3007,
False,1,2405736,232.0,58,0.25,0.8174,0.3443,
False,2,25335735,232.0,2,0.00862069,0.7818,0.4215,
True,3,70163458,174.0,58,0.33333334,0.8867,0.0302,
False,4,70234874,116.0,58,0.5,0.8714,0.2247,
False,5,71555040,58.0,58,1.0,0.8749,0.3619,
True,0,0,684.0,228,0.33333334,0.8867,0.0302,
False,1,71416,456.0,228,0.5,0.8714,0.2247,
False,2,1391582,228.0,228,1.0,0.8749,0.3619,
True,0,0,847.0,2,0.002361275,0.8396,0.6629,15.0
False,1,80307612,1397.0,134,0.095919825,0.668,0.4894,
False,2,103716381,2323.0,524,0.22557038,0.803,0.3007,
False,3,106122117,2626.0,375,0.14280275,0.8174,0.3443,
False,4,127223757,3222.0,300,0.09310987,0.7779,0.4957,
False,5,129052116,3583.0,362,0.10103265,0.7818,0.4215,
True,6,133869493,3651.0,2,0.00054779515,0.776,0.4889,49.0
False,7,134507324,3653.0,2,0.0005474952,0.7741,0.497,49.0
True,8,173879839,1783.0,1684,0.9444756,0.8867,0.0302,
False,9,173951255,99.0,1684,17.010101,0.8714,0.2247,
False,0,0,1353.0,4,0.0029563932,0.8742,0.343,2.0
False,1,6394,1353.0,4,0.0029563932,0.8742,0.3429,
False,2,2056161,1353.0,4,0.0029563932,0.8741,0.343,
False,3,8049161,1353.0,6,0.0044345898,0.8154,0.6263,
False,4,11076943,1353.0,1,0.0007390983,0.8242,0.6055,2.0
False,5,34564368,1357.0,4,0.0029476788,0.8332,0.7587,2.0
False,6,34574668,1361.0,4,0.0029390154,0.8334,0.7588,
True,7,34931860,1380.0,32,0.023188407,0.8375,0.7672,2.0
False,8,35017077,1399.0,32,0.022873482,0.8431,0.7626,
False,9,36916462,1422.0,42,0.029535865,0.8138,0.6011,
False,10,54260519,1732.0,2,0.0011547344,0.7732,0.6522,2.0
False,11,54264536,1732.0,2,0.0011547344,0.7732,0.6519,
False,12,54528076,1734.0,4,0.002306805,0.7739,0.6514,2.0
False,13,54530973,1736.0,4,0.0023041475,0.7739,0.6512,
True,14,57461077,1743.0,10,0.005737235,0.8201,0.6794,2.0
False,15,57463528,1750.0,10,0.0057142857,0.8204,0.6799,
True,16,57465135,1750.0,2,0.0011428571,0.8209,0.6813,2.0
False,17,57468417,1750.0,2,0.0011428571,0.6906,0.162,
True,18,60658834,1761.0,22,0.012492902,0.659,0.2214,2.0
False,19,60996237,1772.0,22,0.0124153495,0.6588,0.2216,
True,20,60998951,1771.0,4,0.002258611,0.6588,0.2218,2.0
False,21,61007492,1770.0,4,0.002259887,0.6591,0.2222,
True,22,62199771,1774.0,6,0.003382187,0.6624,0.2315,2.0
False,23,62205528,1778.0,6,0.0033745782,0.6624,0.2314,
True,24,64725300,1781.0,8,0.0044918586,0.6567,0.2279,2.0
False,25,64726363,1784.0,8,0.004484305,0.6567,0.2278,
False,26,77246224,1785.0,13,0.007282913,0.7841,0.6788,2.0
False,27,83018587,1786.0,13,0.0072788354,0.7937,0.6721,
False,28,92025145,1784.0,3,0.0016816143,0.7843,0.7733,2.0
False,29,92026462,1782.0,3,0.0016835016,0.7844,0.7731,
False,30,112077284,1791.0,31,0.017308766,0.6417,0.64,2.0
False,31,112079619,1798.0,31,0.01724138,0.6432,0.6417,
False,32,119943228,1798.0,1,0.0005561735,0.6576,0.2182,2.0
False,33,120154024,1798.0,1,0.0005561735,0.6603,0.2187,
False,34,120377429,1798.0,1,0.0005561735,0.6583,0.218,2.0
False,35,120385070,1798.0,1,0.0005561735,0.6583,0.2179,
True,0,0,0.0,240,inf,0.8715,0.1808,
False,1,71389,,240,,0.8714,0.2247,
False,2,1391555,,240,,0.8749,0.3619,
False,0,0,425.0,425,1.0,0.7684,0.5405,27.0
False,1,655463,850.0,425,0.5,0.77,0.5471,
False,2,39540148,1539.0,513,0.33333334,0.8749,0.3619,
True,0,0,0.0,68,inf,0.8715,0.1808,
False,1,71389,,68,,0.8714,0.2247,
False,2,1391555,,68,,0.8749,0.3619,
False,0,0,2943.0,750,0.25484198,0.803,0.3007,
False,1,2405736,3000.0,57,0.019,0.8174,0.3443,
True,2,70163485,2249.0,749,0.3330369,0.8715,0.1808,
False,3,70234874,1500.0,749,0.49933332,0.8714,0.2247,
False,4,71555040,750.0,750,1.0,0.8749,0.3619,
False,0,0,186.0,62,0.33333334,0.803,0.3007,
False,1,2405736,248.0,62,0.25,0.8174,0.3443,
True,2,70163485,417.0,221,0.529976,0.8715,0.1808,
False,3,70234874,196.0,221,1.1275511,0.8714,0.2247,
False,4,71555040,98.0,98,1.0,0.8749,0.3619,
False,0,0,186.0,62,0.33333334,0.803,0.3007,
False,1,2405736,248.0,62,0.25,0.8174,0.3443,
True,2,70163485,366.0,122,0.33333334,0.8715,0.1808,
False,3,70234874,244.0,122,0.5,0.8714,0.2247,
False,4,71555040,122.0,122,1.0,0.8749,0.3619,
True,0,0,25.0,264,10.56,0.8715,0.1808,
False,1,71389,,264,,0.8714,0.2247,
False,2,1391555,,266,,0.8749,0.3619,
False,0,0,880.0,235,0.26704547,0.803,0.3007,
False,1,2405736,1273.0,289,0.22702278,0.8174,0.3443,
True,2,70163458,869.0,381,0.438435,0.8867,0.0302,
False,3,70234874,488.0,381,0.7807377,0.8714,0.2247,
False,0,0,288.0,96,0.33333334,0.803,0.3007,
False,1,2405736,384.0,96,0.25,0.8174,0.3443,
True,2,70163485,277.0,85,0.3068592,0.8715,0.1808,
False,3,70234874,192.0,85,0.44270834,0.8714,0.2247,
False,4,71555040,96.0,96,1.0,0.8749,0.3619,
True,0,0,690.0,411,0.59565216,0.8867,0.0302,
False,1,71416,279.0,411,1.4731183,0.8714,0.2247,
False,2,1391582,,411,,0.8749,0.3619,
False,0,0,222.0,12,0.054054055,0.803,0.3007,
True,1,70163485,21.0,201,9.571428,0.8715,0.1808,
False,2,70234874,,201,,0.8714,0.2247,
False,3,71555040,,201,,0.8749,0.3619,
False,0,0,0.0,51,inf,0.8454,0.51,
False,0,0,46.0,432,9.391304,0.8454,0.51,
False,0,0,444.0,148,0.33333334,0.803,0.3007,
False,1,2405736,592.0,148,0.25,0.8174,0.3443,
True,2,70163485,442.0,146,0.33031675,0.8715,0.1808,
False,3,70234874,296.0,146,0.49324325,0.8714,0.2247,
False,4,71555040,148.0,148,1.0,0.8749,0.3619,
False,0,0,0.0,105,inf,0.8454,0.51,
False,0,0,462.0,154,0.33333334,0.803,0.3007,
False,1,2405736,616.0,154,0.25,0.8174,0.3443,
True,2,70163485,530.0,222,0.41886792,0.8715,0.1808,
False,3,70234874,308.0,222,0.72077924,0.8714,0.2247,
False,4,71555040,154.0,154,1.0,0.8749,0.3619,
False,0,0,,352,,0.8454,0.51,
False,0,0,639.0,213,0.33333334,0.803,0.3007,
False,1,2405736,852.0,213,0.25,0.8174,0.3443,
True,2,70163485,639.0,213,0.33333334,0.8715,0.1808,
False,3,70234874,426.0,213,0.5,0.8714,0.2247,
False,4,71555040,213.0,213,1.0,0.8749,0.3619,
True,0,0,0.0,42,inf,0.8867,0.0302,
False,1,71416,,42,,0.8714,0.2247,
False,0,0,424.0,30,0.070754714,0.803,0.3007,
False,1,2405736,437.0,23,0.05263158,0.8174,0.3443,
True,2,70163458,53.0,384,7.245283,0.8867,0.0302,
False,3,70234874,,384,,0.8714,0.2247,
False,4,71555040,,384,,0.8749,0.3619,
False,0,0,1921.0,458,0.23841749,0.803,0.3007,
False,1,2405736,2247.0,429,0.19092123,0.8174,0.3443,
True,2,70163458,1190.0,1257,1.0563025,0.8867,0.0302,
False,3,70234874,,1257,,0.8714,0.2247,
False,4,71555040,,1255,,0.8749,0.3619,
True,0,0,318.0,26,0.08176101,0.8574,0.6436,
False,1,144097205,718.0,87,0.12116992,0.803,0.3007,
False,2,146502941,725.0,9,0.012413793,0.8174,0.3443,
False,0,0,222.0,122,0.5495495,0.803,0.3007,
True,1,2247844,222.0,1,0.0045045046,0.8014,0.3302,8.0
False,2,2249570,222.0,1,0.0045045046,0.8015,0.3309,
False,3,2405736,233.0,113,0.48497853,0.8174,0.3443,
False,4,25335735,233.0,1,0.0042918455,0.7818,0.4215,
True,5,70163458,48.0,195,4.0625,0.8867,0.0302,
False,6,70234874,,195,,0.8714,0.2247,
True,0,0,315.0,476,1.5111111,0.8867,0.0302,
False,1,71416,,476,,0.8714,0.2247,
False,2,1391582,,478,,0.8749,0.3619,
True,0,0,47.0,292,6.212766,0.8867,0.0302,
False,1,71416,,292,,0.8714,0.2247,
False,2,1391582,,287,,0.8749,0.3619,
False,0,0,292.0,128,0.43835616,0.803,0.3007,
False,1,25335735,290.0,1,0.0034482758,0.7818,0.4215,
True,2,70163458,15.0,285,19.0,0.8867,0.0302,
False,3,70234874,,285,,0.8714,0.2247,
True,0,0,552.0,184,0.33333334,0.8715,0.1808,
False,1,71389,368.0,184,0.5,0.8714,0.2247,
False,2,1391555,184.0,184,1.0,0.8749,0.3619,
True,0,0,0.0,89,inf,0.8715,0.1808,
False,1,71389,,89,,0.8714,0.2247,
False,2,1391555,,89,,0.8749,0.3619,
True,0,0,0.0,72,inf,0.8715,0.1808,
False,1,71389,,72,,0.8714,0.2247,
False,2,1391555,,72,,0.8749,0.3619,
False,0,0,1254.0,418,0.33333334,0.803,0.3007,
False,1,2405736,1672.0,418,0.25,0.8174,0.3443,
True,2,70163485,1254.0,418,0.33333334,0.8715,0.1808,
False,3,70234874,836.0,418,0.5,0.8714,0.2247,
False,4,71555040,418.0,418,1.0,0.8749,0.3619,
True,0,0,20.0,20,1.0,0.8568,0.5439,
True,1,2496834,30.0,2,0.06666667,0.8523,0.5309,
False,0,0,690.0,230,0.33333334,0.8174,0.3443,
True,1,67757749,1473.0,551,0.37406653,0.8715,0.1808,
False,2,67829138,922.0,551,0.5976139,0.8714,0.2247,
False,3,69149304,461.0,461,1.0,0.8749,0.3619,
False,0,0,173.0,35,0.20231214,0.803,0.3007,
False,1,2405736,194.0,35,0.18041237,0.8174,0.3443,
True,2,70163485,63.0,131,2.079365,0.8715,0.1808,
False,3,70234874,,131,,0.8714,0.2247,
False,4,71555040,,131,,0.8749,0.3619,
True,0,0,34.0,2,0.05882353,0.8523,0.5309,
False,0,0,60.0,60,1.0,0.8454,0.51,
False,0,0,1822.0,473,0.25960484,0.8174,0.3443,
False,1,22929999,1892.0,70,0.036997885,0.7818,0.4215,
True,2,67757749,1419.0,473,0.33333334,0.8715,0.1808,
False,3,67829138,946.0,473,0.5,0.8714,0.2247,
False,4,69149304,473.0,473,1.0,0.8749,0.3619,
False,0,0,336.0,2,0.005952381,0.7787,0.5282,
False,1,39128196,340.0,17,0.05,0.803,0.3007,
True,2,109291654,77.0,332,4.3116884,0.8867,0.0302,
