isSZZBugIntroducer,revision,age,totalLoc,modified,relativeModified,180fileHcpf,180commitHcpf,nrOfFunctions
True,0,0,74.0,74,1.0,0.6911,0.0002,2.0
True,1,13133022,74.0,8,0.10810811,0.6685,0.1625,2.0
True,0,0,77.0,77,1.0,0.6911,0.0002,1.0
True,0,0,57.0,57,1.0,0.6911,0.0002,2.0
True,0,0,26.0,26,1.0,0.6911,0.0002,1.0
True,1,13133022,26.0,6,0.23076923,0.6685,0.1625,1.0
True,0,0,1311.0,1311,1.0,0.6911,0.0002,30.0
True,1,13133022,1294.0,22,0.017001545,0.6685,0.1625,30.0
True,0,0,19.0,19,1.0,0.6911,0.0002,2.0
True,0,0,654.0,654,1.0,0.6911,0.0002,18.0
True,1,13133022,650.0,5,0.0076923077,0.6685,0.1625,18.0
True,0,0,61.0,61,1.0,0.6911,0.0002,1.0
True,0,0,552.0,552,1.0,0.6911,0.0002,6.0
True,1,13133022,550.0,6,0.010909091,0.6685,0.1625,6.0
True,0,0,335.0,335,1.0,0.6911,0.0002,2.0
True,0,0,498.0,498,1.0,0.6911,0.0002,11.0
True,1,13133022,495.0,7,0.014141414,0.6685,0.1625,11.0
True,0,0,47.0,47,1.0,0.6911,0.0002,
True,0,0,67.0,67,1.0,0.6911,0.0002,1.0
True,1,13133022,63.0,10,0.15873016,0.6685,0.1625,1.0
True,0,0,90.0,90,1.0,0.6911,0.0002,
True,0,0,66.0,66,1.0,0.6911,0.0002,2.0
True,1,13133022,65.0,3,0.046153847,0.6685,0.1625,2.0
True,0,0,72.0,72,1.0,0.6911,0.0002,
True,0,0,58.0,58,1.0,0.6911,0.0002,1.0
True,1,13133022,57.0,3,0.05263158,0.6685,0.1625,1.0
True,0,0,72.0,72,1.0,0.6911,0.0002,
True,0,0,184.0,184,1.0,0.6911,0.0002,6.0
True,1,13133022,184.0,6,0.032608695,0.6685,0.1625,6.0
True,0,0,37.0,37,1.0,0.6911,0.0002,2.0
True,0,0,332.0,332,1.0,0.6911,0.0002,6.0
True,1,13133022,331.0,1,0.003021148,0.6685,0.1625,6.0
True,0,0,100.0,100,1.0,0.6911,0.0002,1.0
True,0,0,223.0,223,1.0,0.6911,0.0002,6.0
True,1,13133022,219.0,8,0.03652968,0.6685,0.1625,6.0
True,0,0,71.0,71,1.0,0.6911,0.0002,4.0
True,0,0,266.0,266,1.0,0.6911,0.0002,1.0
True,1,13133022,258.0,22,0.08527132,0.6685,0.1625,1.0
True,0,0,44.0,44,1.0,0.6911,0.0002,1.0
True,0,0,105.0,105,1.0,0.6911,0.0002,5.0
True,0,0,126.0,126,1.0,0.6911,0.0002,
True,1,13133022,123.0,3,0.024390243,0.6685,0.1625,
True,0,0,122.0,122,1.0,0.6911,0.0002,1.0
False,1,256144,124.0,4,0.032258064,0.6913,0.0055,1.0
True,2,13133022,120.0,6,0.05,0.6685,0.1625,1.0
True,0,0,153.0,153,1.0,0.6911,0.0002,10.0
True,0,0,91.0,91,1.0,0.6911,0.0002,2.0
False,1,256144,92.0,2,0.02173913,0.6913,0.0055,2.0
True,2,13133022,91.0,1,0.010989011,0.6685,0.1625,2.0
True,0,0,21.0,21,1.0,0.6911,0.0002,0.0
True,0,0,69.0,69,1.0,0.6911,0.0002,2.0
True,1,13133022,69.0,20,0.28985506,0.6685,0.1625,2.0
True,0,0,27.0,27,1.0,0.6911,0.0002,1.0
True,0,0,123.0,123,1.0,0.6911,0.0002,4.0
True,1,13133022,123.0,16,0.1300813,0.6685,0.1625,4.0
True,0,0,21.0,21,1.0,0.6911,0.0002,0.0
True,0,0,69.0,69,1.0,0.6911,0.0002,3.0
True,1,13133022,69.0,6,0.08695652,0.6685,0.1625,3.0
True,0,0,21.0,21,1.0,0.6911,0.0002,0.0
True,0,0,42.0,42,1.0,0.6911,0.0002,4.0
True,1,4197406,43.0,2,0.046511628,0.6646,0.168,4.0
True,2,13133022,43.0,4,0.093023255,0.6685,0.1625,4.0
True,0,0,21.0,21,1.0,0.6911,0.0002,0.0
True,0,0,172.0,172,1.0,0.6911,0.0002,4.0
True,1,13133022,163.0,20,0.12269939,0.6685,0.1625,4.0
True,0,0,312.0,312,1.0,0.6911,0.0002,
True,0,0,108.0,108,1.0,0.6911,0.0002,3.0
True,1,13133022,105.0,15,0.14285715,0.6685,0.1625,3.0
True,0,0,7.0,7,1.0,0.6911,0.0002,
True,0,0,175.0,175,1.0,0.6911,0.0002,14.0
True,1,13133022,175.0,8,0.045714285,0.6685,0.1625,14.0
True,0,0,3808.0,3808,1.0,0.6911,0.0002,
True,0,0,54.0,54,1.0,0.6911,0.0002,2.0
True,1,13133022,54.0,6,0.11111111,0.6685,0.1625,2.0
True,0,0,25.0,25,1.0,0.6911,0.0002,1.0
True,0,0,141.0,141,1.0,0.6911,0.0002,10.0
True,1,13133022,141.0,10,0.07092199,0.6685,0.1625,10.0
True,0,0,39.0,39,1.0,0.6911,0.0002,2.0
True,0,0,37.0,37,1.0,0.6911,0.0002,1.0
True,0,0,56.0,56,1.0,0.6911,0.0002,1.0
True,1,13133022,56.0,6,0.10714286,0.6685,0.1625,1.0
True,0,0,24.0,24,1.0,0.6911,0.0002,1.0
True,1,13133022,24.0,6,0.25,0.6685,0.1625,1.0
True,0,0,88.0,88,1.0,0.6911,0.0002,6.0
True,0,0,29.0,29,1.0,0.6911,0.0002,1.0
True,1,13133022,29.0,7,0.2413793,0.6685,0.1625,1.0
True,0,0,13.0,13,1.0,0.6911,0.0002,1.0
True,0,0,106.0,106,1.0,0.6911,0.0002,2.0
True,1,13133022,106.0,15,0.14150943,0.6685,0.1625,2.0
True,0,0,122.0,122,1.0,0.6911,0.0002,4.0
True,0,0,32.0,32,1.0,0.6911,0.0002,1.0
True,1,13133022,32.0,6,0.1875,0.6685,0.1625,1.0
True,0,0,75.0,75,1.0,0.6911,0.0002,3.0
True,0,0,65.0,65,1.0,0.6911,0.0002,2.0
True,1,13133022,61.0,14,0.22950819,0.6685,0.1625,2.0
True,0,0,38.0,38,1.0,0.6911,0.0002,0.0
True,0,0,69.0,69,1.0,0.6911,0.0002,1.0
True,1,13133022,69.0,6,0.08695652,0.6685,0.1625,1.0
True,0,0,88.0,88,1.0,0.6911,0.0002,
True,0,0,124.0,124,1.0,0.6911,0.0002,3.0
True,1,13133022,115.0,17,0.14782609,0.6685,0.1625,3.0
True,0,0,56.0,56,1.0,0.6911,0.0002,
